--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
o_year|sum_profit|nation|
1995|48905200.00|MOZAMBIQUE|
1994|46092012.00|MOZAMBIQUE|
1993|48555916.00|MOZAMBIQUE|
1992|47809096.00|MOZAMBIQUE|
1998|26713940.00|PERU|
1997|48323988.00|PERU|
1996|50310004.00|PERU|
1995|49647068.00|PERU|
1994|46420904.00|PERU|
1993|51536896.00|PERU|
1992|47711684.00|PERU|
1998|27271988.00|ROMANIA|
1997|45063036.00|ROMANIA|
1996|47492272.00|ROMANIA|
1995|45710664.00|ROMANIA|
1994|46088040.00|ROMANIA|
1993|47515048.00|ROMANIA|
1992|44111404.00|ROMANIA|
1998|27935322.00|RUSSIA|
1997|48222300.00|RUSSIA|
1996|47553580.00|RUSSIA|
1995|46756064.00|RUSSIA|
1994|48000552.00|RUSSIA|
1993|48569620.00|RUSSIA|
1992|47672832.00|RUSSIA|
1998|27113524.00|SAUDI ARABIA|
1997|46690468.00|SAUDI ARABIA|
1996|47775716.00|SAUDI ARABIA|
1995|46657124.00|SAUDI ARABIA|
1994|48181656.00|SAUDI ARABIA|
1993|45692552.00|SAUDI ARABIA|
1992|48924912.00|SAUDI ARABIA|
1998|26366682.00|UNITED KINGDOM|
1997|44518160.00|UNITED KINGDOM|
1996|45539756.00|UNITED KINGDOM|
1995|46845836.00|UNITED KINGDOM|
1994|43081616.00|UNITED KINGDOM|
1993|44770136.00|UNITED KINGDOM|
1992|44123400.00|UNITED KINGDOM|
1998|27826582.00|UNITED STATES|
1997|46638576.00|UNITED STATES|
1996|46688276.00|UNITED STATES|
1995|48951604.00|UNITED STATES|
1994|45099088.00|UNITED STATES|
1993|46181608.00|UNITED STATES|
1992|46168208.00|UNITED STATES|
1998|27281944.00|VIETNAM|
1997|48735936.00|VIETNAM|
1996|47824624.00|VIETNAM|
1995|48235092.00|VIETNAM|
1994|47729248.00|VIETNAM|
1993|45352720.00|VIETNAM|
1992|47846304.00|VIETNAM|
---------------------------------------------------
Planning time: 20.58 ms
Data Load Time (Disk+Upload): 13790.35 ms
GPU kernels time: 10.34 ms
CPU postprocess time: 133.48 ms
Total Internal Pipeline time: 13934.16 ms
Total Host Execution time: 13945.77 ms
Total Wall time (Plan+Exec): 13966.35 ms
---------------------------------------------------
GPU Kernel Timing Summary:
─────────────────────────────────────────
  compact        :    0.267 ms (2.581%) [1 calls]
  filter         :    0.968 ms (9.360%) [1 calls]
  gather         :    1.148 ms (11.101%) [2 calls]
  groupby        :    5.198 ms (50.285%) [3 calls]
  hash_join_probe_u32:    2.082 ms (20.141%) [4 calls]
  hash_join_probe_u64:    0.422 ms (4.080%) [1 calls]
  sort           :    0.253 ms (2.452%) [2 calls]
─────────────────────────────────────────
  TOTAL GPU TIME: 10.337 ms
  Kernel invocations: 14
