--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
p_size|supplier_cnt|p_brand|p_type|
15|24.00|Brand#24|PROMO PLATED BRASS|
11|24.00|Brand#24|SMALL BURNISHED NICKEL|
25|24.00|Brand#25|LARGE PLATED STEEL|
40|24.00|Brand#25|MEDIUM ANODIZED BRASS|
36|24.00|Brand#25|MEDIUM BURNISHED COPPER|
26|24.00|Brand#25|MEDIUM PLATED NICKEL|
35|24.00|Brand#25|MEDIUM PLATED STEEL|
17|24.00|Brand#25|SMALL BURNISHED COPPER|
32|24.00|Brand#31|ECONOMY POLISHED BRASS|
6|24.00|Brand#31|LARGE ANODIZED BRASS|
36|24.00|Brand#31|PROMO POLISHED COPPER|
26|24.00|Brand#32|LARGE ANODIZED STEEL|
20|24.00|Brand#32|MEDIUM POLISHED COPPER|
13|24.00|Brand#32|PROMO POLISHED COPPER|
7|24.00|Brand#32|SMALL ANODIZED BRASS|
42|24.00|Brand#32|STANDARD BRUSHED TIN|
7|24.00|Brand#33|ECONOMY PLATED STEEL|
23|24.00|Brand#33|LARGE POLISHED TIN|
20|24.00|Brand#33|MEDIUM PLATED COPPER|
10|24.00|Brand#33|PROMO BRUSHED BRASS|
14|24.00|Brand#33|PROMO POLISHED STEEL|
32|24.00|Brand#34|ECONOMY BRUSHED COPPER|
16|24.00|Brand#34|ECONOMY BRUSHED NICKEL|
32|24.00|Brand#34|ECONOMY POLISHED COPPER|
4|24.00|Brand#34|MEDIUM POLISHED COPPER|
21|24.00|Brand#34|SMALL BRUSHED TIN|
37|24.00|Brand#34|SMALL POLISHED TIN|
33|24.00|Brand#34|STANDARD ANODIZED BRASS|
13|24.00|Brand#34|STANDARD PLATED STEEL|
11|24.00|Brand#35|ECONOMY BRUSHED TIN|
50|24.00|Brand#35|ECONOMY POLISHED TIN|
14|24.00|Brand#35|PROMO BRUSHED NICKEL|
39|24.00|Brand#35|PROMO PLATED TIN|
34|24.00|Brand#35|PROMO POLISHED BRASS|
24|24.00|Brand#35|PROMO POLISHED NICKEL|
31|24.00|Brand#35|STANDARD BRUSHED COPPER|
9|24.00|Brand#41|ECONOMY BRUSHED STEEL|
32|24.00|Brand#41|ECONOMY BURNISHED COPPER|
19|24.00|Brand#41|ECONOMY POLISHED TIN|
48|24.00|Brand#41|LARGE BRUSHED STEEL|
2|24.00|Brand#41|LARGE PLATED BRASS|
36|24.00|Brand#41|LARGE PLATED COPPER|
26|24.00|Brand#41|LARGE POLISHED COPPER|
29|24.00|Brand#41|PROMO PLATED NICKEL|
32|24.00|Brand#41|SMALL PLATED TIN|
3|24.00|Brand#42|ECONOMY PLATED BRASS|
6|24.00|Brand#42|ECONOMY POLISHED TIN|
1|24.00|Brand#42|LARGE POLISHED NICKEL|
29|24.00|Brand#42|MEDIUM POLISHED BRASS|
40|24.00|Brand#42|PROMO ANODIZED NICKEL|
12|24.00|Brand#42|STANDARD ANODIZED NICKEL|
49|24.00|Brand#42|STANDARD POLISHED TIN|
42|24.00|Brand#43|ECONOMY BRUSHED TIN|
2|24.00|Brand#43|LARGE BRUSHED TIN|
3|24.00|Brand#43|PROMO BRUSHED TIN|
36|24.00|Brand#43|SMALL ANODIZED COPPER|
6|24.00|Brand#43|SMALL POLISHED BRASS|
37|24.00|Brand#43|STANDARD BURNISHED STEEL|
29|24.00|Brand#44|ECONOMY BURNISHED BRASS|
42|24.00|Brand#44|ECONOMY BURNISHED NICKEL|
35|24.00|Brand#44|LARGE POLISHED BRASS|
31|24.00|Brand#44|STANDARD ANODIZED COPPER|
46|24.00|Brand#44|STANDARD PLATED BRASS|
3|24.00|Brand#44|STANDARD POLISHED NICKEL|
16|24.00|Brand#45|MEDIUM BRUSHED BRASS|
27|24.00|Brand#45|STANDARD ANODIZED TIN|
16|24.00|Brand#45|STANDARD PLATED TIN|
25|24.00|Brand#51|MEDIUM BURNISHED COPPER|
13|24.00|Brand#52|ECONOMY BRUSHED BRASS|
32|24.00|Brand#52|ECONOMY BURNISHED COPPER|
14|24.00|Brand#52|ECONOMY PLATED TIN|
46|24.00|Brand#52|MEDIUM ANODIZED STEEL|
18|24.00|Brand#52|SMALL PLATED COPPER|
37|24.00|Brand#52|SMALL POLISHED NICKEL|
3|24.00|Brand#52|STANDARD BURNISHED NICKEL|
14|24.00|Brand#53|MEDIUM ANODIZED STEEL|
26|24.00|Brand#53|MEDIUM POLISHED STEEL|
32|24.00|Brand#53|MEDIUM POLISHED STEEL|
12|24.00|Brand#53|SMALL BRUSHED STEEL|
1|24.00|Brand#54|ECONOMY BRUSHED COPPER|
1|24.00|Brand#54|LARGE ANODIZED TIN|
40|24.00|Brand#54|LARGE PLATED NICKEL|
27|24.00|Brand#54|PROMO PLATED BRASS|
50|24.00|Brand#54|STANDARD ANODIZED TIN|
32|24.00|Brand#54|STANDARD PLATED NICKEL|
8|24.00|Brand#55|ECONOMY ANODIZED NICKEL|
21|24.00|Brand#55|ECONOMY BURNISHED NICKEL|
25|24.00|Brand#55|SMALL POLISHED BRASS|
29|23.00|Brand#11|MEDIUM PLATED STEEL|
8|23.00|Brand#13|LARGE BRUSHED STEEL|
45|23.00|Brand#14|PROMO ANODIZED NICKEL|
21|23.00|Brand#21|LARGE BURNISHED NICKEL|
9|23.00|Brand#32|ECONOMY PLATED BRASS|
28|23.00|Brand#35|PROMO BRUSHED STEEL|
27|23.00|Brand#35|SMALL POLISHED TIN|
3|23.00|Brand#52|SMALL ANODIZED COPPER|
43|20.00|Brand#11|ECONOMY BRUSHED COPPER|
45|20.00|Brand#11|ECONOMY BRUSHED COPPER|
5|20.00|Brand#11|ECONOMY BRUSHED STEEL|
23|20.00|Brand#11|ECONOMY PLATED BRASS|
41|20.00|Brand#11|LARGE ANODIZED BRASS|
48|20.00|Brand#11|LARGE ANODIZED TIN|
49|20.00|Brand#11|LARGE BRUSHED COPPER|
49|20.00|Brand#11|LARGE POLISHED COPPER|
16|20.00|Brand#11|LARGE POLISHED TIN|
7|20.00|Brand#11|MEDIUM ANODIZED TIN|
24|20.00|Brand#11|MEDIUM BRUSHED NICKEL|
34|20.00|Brand#11|MEDIUM POLISHED STEEL|
7|20.00|Brand#11|PROMO BRUSHED STEEL|
15|20.00|Brand#11|PROMO BURNISHED NICKEL|
28|20.00|Brand#11|PROMO BURNISHED NICKEL|
26|20.00|Brand#11|PROMO PLATED COPPER|
7|20.00|Brand#11|PROMO PLATED TIN|
42|20.00|Brand#11|PROMO PLATED TIN|
38|20.00|Brand#11|SMALL ANODIZED NICKEL|
29|20.00|Brand#11|SMALL BURNISHED BRASS|
32|20.00|Brand#11|SMALL PLATED STEEL|
7|20.00|Brand#11|SMALL POLISHED BRASS|
25|20.00|Brand#11|STANDARD BRUSHED NICKEL|
35|20.00|Brand#11|STANDARD PLATED TIN|
11|20.00|Brand#11|STANDARD POLISHED COPPER|
29|20.00|Brand#12|ECONOMY ANODIZED TIN|
42|20.00|Brand#12|ECONOMY ANODIZED TIN|
20|20.00|Brand#12|ECONOMY BURNISHED NICKEL|
46|20.00|Brand#12|ECONOMY PLATED NICKEL|
30|20.00|Brand#12|LARGE BURNISHED BRASS|
39|20.00|Brand#12|LARGE POLISHED COPPER|
40|20.00|Brand#12|LARGE POLISHED STEEL|
32|20.00|Brand#12|MEDIUM ANODIZED COPPER|
34|20.00|Brand#12|MEDIUM BRUSHED COPPER|
39|20.00|Brand#12|MEDIUM BRUSHED NICKEL|
33|20.00|Brand#12|MEDIUM BURNISHED STEEL|
33|20.00|Brand#12|MEDIUM PLATED STEEL|
3|20.00|Brand#12|MEDIUM POLISHED BRASS|
6|20.00|Brand#12|MEDIUM POLISHED COPPER|
4|20.00|Brand#12|MEDIUM POLISHED NICKEL|
26|20.00|Brand#12|PROMO BURNISHED NICKEL|
2|20.00|Brand#12|PROMO BURNISHED TIN|
20|20.00|Brand#12|PROMO PLATED BRASS|
20|20.00|Brand#12|SMALL BRUSHED NICKEL|
7|20.00|Brand#12|SMALL BRUSHED STEEL|
2|20.00|Brand#12|SMALL PLATED NICKEL|
11|20.00|Brand#12|SMALL PLATED NICKEL|
49|20.00|Brand#12|STANDARD ANODIZED TIN|
10|20.00|Brand#12|STANDARD BRUSHED STEEL|
15|20.00|Brand#12|STANDARD BURNISHED COPPER|
22|20.00|Brand#12|STANDARD BURNISHED NICKEL|
19|20.00|Brand#12|STANDARD PLATED BRASS|
50|20.00|Brand#12|STANDARD POLISHED STEEL|
40|20.00|Brand#13|ECONOMY ANODIZED NICKEL|
9|20.00|Brand#13|ECONOMY BRUSHED BRASS|
5|20.00|Brand#13|ECONOMY BRUSHED COPPER|
14|20.00|Brand#13|ECONOMY BURNISHED STEEL|
34|20.00|Brand#13|ECONOMY BURNISHED TIN|
40|20.00|Brand#13|LARGE ANODIZED STEEL|
19|20.00|Brand#13|LARGE BURNISHED NICKEL|
10|20.00|Brand#13|LARGE PLATED TIN|
20|20.00|Brand#13|LARGE POLISHED BRASS|
26|20.00|Brand#13|MEDIUM BRUSHED NICKEL|
33|20.00|Brand#13|MEDIUM BRUSHED TIN|
27|20.00|Brand#13|MEDIUM BURNISHED BRASS|
36|20.00|Brand#13|MEDIUM BURNISHED COPPER|
1|20.00|Brand#13|MEDIUM PLATED NICKEL|
12|20.00|Brand#13|MEDIUM POLISHED TIN|
37|20.00|Brand#13|PROMO BRUSHED COPPER|
27|20.00|Brand#13|PROMO BRUSHED NICKEL|
1|20.00|Brand#13|PROMO POLISHED TIN|
46|20.00|Brand#13|SMALL ANODIZED BRASS|
16|20.00|Brand#13|SMALL ANODIZED NICKEL|
44|20.00|Brand#13|SMALL BRUSHED BRASS|
42|20.00|Brand#13|SMALL BRUSHED TIN|
45|20.00|Brand#13|SMALL BRUSHED TIN|
7|20.00|Brand#13|SMALL BURNISHED BRASS|
27|20.00|Brand#13|SMALL PLATED BRASS|
43|20.00|Brand#13|SMALL PLATED COPPER|
41|20.00|Brand#13|SMALL POLISHED NICKEL|
34|20.00|Brand#13|SMALL POLISHED STEEL|
3|20.00|Brand#13|STANDARD ANODIZED COPPER|
46|20.00|Brand#13|STANDARD BURNISHED STEEL|
10|20.00|Brand#13|STANDARD PLATED COPPER|
23|20.00|Brand#13|STANDARD PLATED NICKEL|
38|20.00|Brand#13|STANDARD POLISHED COPPER|
14|20.00|Brand#14|ECONOMY ANODIZED COPPER|
26|20.00|Brand#14|ECONOMY PLATED BRASS|
25|20.00|Brand#14|ECONOMY PLATED COPPER|
43|20.00|Brand#14|ECONOMY PLATED COPPER|
7|20.00|Brand#14|ECONOMY PLATED NICKEL|
22|20.00|Brand#14|ECONOMY PLATED STEEL|
41|20.00|Brand#14|ECONOMY PLATED STEEL|
36|20.00|Brand#14|ECONOMY PLATED TIN|
3|20.00|Brand#14|ECONOMY POLISHED NICKEL|
22|20.00|Brand#14|LARGE ANODIZED BRASS|
8|20.00|Brand#14|LARGE ANODIZED STEEL|
2|20.00|Brand#14|LARGE BRUSHED NICKEL|
3|20.00|Brand#14|MEDIUM ANODIZED NICKEL|
26|20.00|Brand#14|MEDIUM BURNISHED STEEL|
22|20.00|Brand#14|PROMO BURNISHED NICKEL|
35|20.00|Brand#14|PROMO PLATED BRASS|
22|20.00|Brand#14|SMALL ANODIZED BRASS|
31|20.00|Brand#14|SMALL ANODIZED NICKEL|
50|20.00|Brand#14|SMALL ANODIZED TIN|
29|20.00|Brand#14|SMALL BURNISHED BRASS|
28|20.00|Brand#14|SMALL PLATED TIN|
11|20.00|Brand#14|SMALL POLISHED NICKEL|
14|20.00|Brand#14|SMALL POLISHED TIN|
16|20.00|Brand#14|STANDARD ANODIZED BRASS|
16|20.00|Brand#14|STANDARD ANODIZED TIN|
28|20.00|Brand#14|STANDARD ANODIZED TIN|
34|20.00|Brand#14|STANDARD BURNISHED TIN|
2|20.00|Brand#14|STANDARD PLATED NICKEL|
33|20.00|Brand#14|STANDARD PLATED STEEL|
50|20.00|Brand#14|STANDARD POLISHED STEEL|
30|20.00|Brand#15|ECONOMY BRUSHED TIN|
43|20.00|Brand#15|LARGE ANODIZED COPPER|
30|20.00|Brand#15|LARGE BRUSHED NICKEL|
32|20.00|Brand#15|LARGE BRUSHED STEEL|
6|20.00|Brand#15|LARGE BURNISHED STEEL|
34|20.00|Brand#15|LARGE BURNISHED TIN|
42|20.00|Brand#15|LARGE PLATED NICKEL|
50|20.00|Brand#15|LARGE POLISHED STEEL|
9|20.00|Brand#15|MEDIUM ANODIZED COPPER|
18|20.00|Brand#15|MEDIUM BRUSHED COPPER|
1|20.00|Brand#15|MEDIUM BURNISHED BRASS|
23|20.00|Brand#15|MEDIUM PLATED TIN|
14|20.00|Brand#15|PROMO PLATED BRASS|
1|20.00|Brand#15|PROMO POLISHED COPPER|
16|20.00|Brand#15|PROMO POLISHED TIN|
45|20.00|Brand#15|SMALL ANODIZED COPPER|
22|20.00|Brand#15|SMALL BURNISHED BRASS|
49|20.00|Brand#15|SMALL PLATED COPPER|
15|20.00|Brand#15|STANDARD ANODIZED STEEL|
40|20.00|Brand#15|STANDARD BRUSHED STEEL|
48|20.00|Brand#15|STANDARD BURNISHED NICKEL|
12|20.00|Brand#15|STANDARD BURNISHED STEEL|
3|20.00|Brand#15|STANDARD PLATED TIN|
33|20.00|Brand#21|ECONOMY BURNISHED STEEL|
16|20.00|Brand#21|ECONOMY BURNISHED TIN|
36|20.00|Brand#21|LARGE ANODIZED COPPER|
43|20.00|Brand#21|LARGE BRUSHED NICKEL|
3|20.00|Brand#21|LARGE BRUSHED TIN|
14|20.00|Brand#21|MEDIUM ANODIZED COPPER|
17|20.00|Brand#21|MEDIUM BRUSHED BRASS|
20|20.00|Brand#21|MEDIUM BURNISHED TIN|
2|20.00|Brand#21|PROMO ANODIZED NICKEL|
21|20.00|Brand#21|PROMO ANODIZED STEEL|
16|20.00|Brand#21|PROMO BRUSHED TIN|
36|20.00|Brand#21|PROMO BRUSHED TIN|
20|20.00|Brand#21|PROMO BURNISHED BRASS|
45|20.00|Brand#21|PROMO POLISHED NICKEL|
9|20.00|Brand#21|SMALL ANODIZED COPPER|
6|20.00|Brand#21|SMALL ANODIZED NICKEL|
18|20.00|Brand#21|SMALL BRUSHED COPPER|
21|20.00|Brand#21|SMALL BRUSHED NICKEL|
5|20.00|Brand#21|SMALL BRUSHED STEEL|
7|20.00|Brand#21|SMALL BURNISHED BRASS|
20|20.00|Brand#21|SMALL PLATED TIN|
5|20.00|Brand#21|SMALL POLISHED NICKEL|
23|20.00|Brand#21|SMALL POLISHED NICKEL|
26|20.00|Brand#21|STANDARD ANODIZED BRASS|
7|20.00|Brand#21|STANDARD ANODIZED COPPER|
32|20.00|Brand#21|STANDARD BRUSHED COPPER|
48|20.00|Brand#21|STANDARD BURNISHED TIN|
33|20.00|Brand#22|ECONOMY ANODIZED NICKEL|
32|20.00|Brand#22|ECONOMY BURNISHED COPPER|
40|20.00|Brand#22|ECONOMY BURNISHED NICKEL|
18|20.00|Brand#22|ECONOMY PLATED COPPER|
43|20.00|Brand#22|ECONOMY POLISHED BRASS|
16|20.00|Brand#22|ECONOMY POLISHED STEEL|
36|20.00|Brand#22|LARGE ANODIZED COPPER|
49|20.00|Brand#22|LARGE BRUSHED COPPER|
13|20.00|Brand#22|LARGE BRUSHED NICKEL|
43|20.00|Brand#22|LARGE BRUSHED TIN|
33|20.00|Brand#22|LARGE PLATED STEEL|
35|20.00|Brand#22|LARGE POLISHED COPPER|
50|20.00|Brand#22|LARGE POLISHED NICKEL|
10|20.00|Brand#22|MEDIUM PLATED BRASS|
49|20.00|Brand#22|PROMO ANODIZED TIN|
39|20.00|Brand#22|PROMO BRUSHED COPPER|
21|20.00|Brand#22|PROMO PLATED COPPER|
45|20.00|Brand#22|PROMO POLISHED BRASS|
22|20.00|Brand#22|SMALL ANODIZED STEEL|
45|20.00|Brand#22|SMALL BURNISHED STEEL|
37|20.00|Brand#22|SMALL POLISHED BRASS|
43|20.00|Brand#23|ECONOMY ANODIZED NICKEL|
44|20.00|Brand#23|ECONOMY PLATED STEEL|
25|20.00|Brand#23|ECONOMY POLISHED NICKEL|
10|20.00|Brand#23|LARGE BRUSHED COPPER|
7|20.00|Brand#23|LARGE BRUSHED NICKEL|
30|20.00|Brand#23|LARGE BURNISHED COPPER|
4|20.00|Brand#23|LARGE PLATED COPPER|
44|20.00|Brand#23|LARGE PLATED TIN|
45|20.00|Brand#23|MEDIUM ANODIZED STEEL|
12|20.00|Brand#23|MEDIUM ANODIZED TIN|
28|20.00|Brand#23|MEDIUM BURNISHED COPPER|
9|20.00|Brand#23|MEDIUM POLISHED NICKEL|
20|20.00|Brand#23|MEDIUM POLISHED STEEL|
25|20.00|Brand#23|MEDIUM POLISHED TIN|
40|20.00|Brand#23|PROMO ANODIZED NICKEL|
18|20.00|Brand#23|PROMO ANODIZED STEEL|
15|20.00|Brand#23|PROMO BRUSHED BRASS|
43|20.00|Brand#23|PROMO BRUSHED BRASS|
10|20.00|Brand#23|PROMO BRUSHED NICKEL|
16|20.00|Brand#23|PROMO POLISHED COPPER|
10|20.00|Brand#23|PROMO POLISHED NICKEL|
23|20.00|Brand#23|PROMO POLISHED STEEL|
16|20.00|Brand#23|PROMO POLISHED TIN|
11|20.00|Brand#23|SMALL ANODIZED STEEL|
47|20.00|Brand#23|SMALL PLATED TIN|
22|20.00|Brand#23|SMALL POLISHED STEEL|
30|20.00|Brand#23|SMALL POLISHED STEEL|
21|20.00|Brand#23|STANDARD ANODIZED TIN|
39|20.00|Brand#23|STANDARD ANODIZED TIN|
14|20.00|Brand#23|STANDARD BRUSHED TIN|
35|20.00|Brand#23|STANDARD BURNISHED BRASS|
26|20.00|Brand#23|STANDARD BURNISHED NICKEL|
16|20.00|Brand#23|STANDARD BURNISHED STEEL|
36|20.00|Brand#23|STANDARD PLATED NICKEL|
17|20.00|Brand#23|STANDARD POLISHED BRASS|
5|20.00|Brand#23|STANDARD POLISHED COPPER|
21|20.00|Brand#23|STANDARD POLISHED COPPER|
21|20.00|Brand#24|ECONOMY ANODIZED STEEL|
20|20.00|Brand#24|ECONOMY BURNISHED BRASS|
10|20.00|Brand#24|ECONOMY BURNISHED NICKEL|
24|20.00|Brand#24|LARGE ANODIZED TIN|
4|20.00|Brand#24|LARGE BRUSHED COPPER|
18|20.00|Brand#24|MEDIUM BRUSHED TIN|
40|20.00|Brand#24|MEDIUM BURNISHED TIN|
2|20.00|Brand#24|MEDIUM PLATED TIN|
23|20.00|Brand#24|MEDIUM POLISHED BRASS|
23|20.00|Brand#24|MEDIUM POLISHED COPPER|
33|20.00|Brand#24|PROMO ANODIZED BRASS|
21|20.00|Brand#24|PROMO ANODIZED NICKEL|
25|20.00|Brand#24|PROMO ANODIZED NICKEL|
49|20.00|Brand#24|PROMO PLATED COPPER|
47|20.00|Brand#24|PROMO PLATED NICKEL|
49|20.00|Brand#24|PROMO PLATED STEEL|
9|20.00|Brand#24|PROMO POLISHED STEEL|
11|20.00|Brand#24|SMALL ANODIZED COPPER|
40|20.00|Brand#24|SMALL BURNISHED COPPER|
46|20.00|Brand#24|STANDARD BRUSHED STEEL|
36|20.00|Brand#24|STANDARD BRUSHED TIN|
43|20.00|Brand#25|ECONOMY PLATED NICKEL|
3|20.00|Brand#25|LARGE ANODIZED BRASS|
6|20.00|Brand#25|LARGE ANODIZED COPPER|
22|20.00|Brand#25|LARGE BRUSHED NICKEL|
7|20.00|Brand#25|LARGE BRUSHED TIN|
41|20.00|Brand#25|LARGE BURNISHED NICKEL|
25|20.00|Brand#25|LARGE PLATED COPPER|
44|20.00|Brand#25|LARGE POLISHED COPPER|
4|20.00|Brand#25|MEDIUM ANODIZED BRASS|
4|20.00|Brand#25|MEDIUM BRUSHED TIN|
6|20.00|Brand#25|MEDIUM BURNISHED COPPER|
46|20.00|Brand#25|MEDIUM BURNISHED NICKEL|
33|20.00|Brand#25|MEDIUM PLATED BRASS|
40|20.00|Brand#25|MEDIUM PLATED BRASS|
36|20.00|Brand#25|MEDIUM POLISHED COPPER|
40|20.00|Brand#25|PROMO BURNISHED COPPER|
3|20.00|Brand#25|PROMO BURNISHED TIN|
4|20.00|Brand#25|PROMO PLATED BRASS|
35|20.00|Brand#25|PROMO PLATED BRASS|
4|20.00|Brand#25|SMALL BURNISHED NICKEL|
4|20.00|Brand#25|STANDARD ANODIZED NICKEL|
32|20.00|Brand#25|STANDARD BRUSHED TIN|
20|20.00|Brand#25|STANDARD BURNISHED BRASS|
10|20.00|Brand#25|STANDARD BURNISHED NICKEL|
39|20.00|Brand#25|STANDARD BURNISHED NICKEL|
11|20.00|Brand#25|STANDARD POLISHED COPPER|
41|20.00|Brand#31|ECONOMY PLATED BRASS|
18|20.00|Brand#31|ECONOMY PLATED COPPER|
3|20.00|Brand#31|ECONOMY POLISHED NICKEL|
50|20.00|Brand#31|ECONOMY POLISHED TIN|
13|20.00|Brand#31|LARGE PLATED NICKEL|
7|20.00|Brand#31|MEDIUM ANODIZED COPPER|
20|20.00|Brand#31|MEDIUM ANODIZED TIN|
16|20.00|Brand#31|MEDIUM BRUSHED TIN|
34|20.00|Brand#31|MEDIUM BRUSHED TIN|
17|20.00|Brand#31|MEDIUM BURNISHED TIN|
42|20.00|Brand#31|MEDIUM PLATED COPPER|
44|20.00|Brand#31|MEDIUM PLATED NICKEL|
45|20.00|Brand#31|MEDIUM PLATED TIN|
17|20.00|Brand#31|MEDIUM POLISHED BRASS|
40|20.00|Brand#31|MEDIUM POLISHED BRASS|
5|20.00|Brand#31|MEDIUM POLISHED TIN|
14|20.00|Brand#31|SMALL ANODIZED STEEL|
31|20.00|Brand#31|SMALL BURNISHED STEEL|
26|20.00|Brand#31|SMALL POLISHED COPPER|
15|20.00|Brand#31|STANDARD BRUSHED COPPER|
32|20.00|Brand#31|STANDARD BRUSHED NICKEL|
50|20.00|Brand#31|STANDARD BURNISHED BRASS|
7|20.00|Brand#31|STANDARD PLATED COPPER|
38|20.00|Brand#31|STANDARD PLATED TIN|
36|20.00|Brand#32|ECONOMY ANODIZED COPPER|
24|20.00|Brand#32|ECONOMY ANODIZED NICKEL|
49|20.00|Brand#32|ECONOMY BRUSHED NICKEL|
29|20.00|Brand#32|ECONOMY PLATED BRASS|
33|20.00|Brand#32|ECONOMY POLISHED STEEL|
37|20.00|Brand#32|LARGE ANODIZED BRASS|
19|20.00|Brand#32|LARGE ANODIZED TIN|
7|20.00|Brand#32|LARGE BURNISHED NICKEL|
47|20.00|Brand#32|LARGE BURNISHED STEEL|
18|20.00|Brand#32|LARGE PLATED BRASS|
29|20.00|Brand#32|LARGE POLISHED COPPER|
19|20.00|Brand#32|MEDIUM BURNISHED COPPER|
16|20.00|Brand#32|MEDIUM BURNISHED STEEL|
48|20.00|Brand#32|MEDIUM PLATED STEEL|
6|20.00|Brand#32|PROMO ANODIZED NICKEL|
21|20.00|Brand#32|PROMO BRUSHED COPPER|
42|20.00|Brand#32|PROMO BRUSHED TIN|
2|20.00|Brand#32|PROMO POLISHED COPPER|
10|20.00|Brand#32|SMALL ANODIZED BRASS|
45|20.00|Brand#32|SMALL ANODIZED STEEL|
34|20.00|Brand#32|SMALL BURNISHED COPPER|
16|20.00|Brand#32|SMALL BURNISHED STEEL|
13|20.00|Brand#32|SMALL PLATED STEEL|
42|20.00|Brand#32|SMALL POLISHED COPPER|
30|20.00|Brand#32|STANDARD BURNISHED COPPER|
43|20.00|Brand#32|STANDARD PLATED BRASS|
4|20.00|Brand#32|STANDARD PLATED NICKEL|
16|20.00|Brand#32|STANDARD POLISHED TIN|
16|20.00|Brand#33|ECONOMY BRUSHED NICKEL|
