--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
o_year|sum_profit|nation|
  groupby        :    2.443 ms (33.535%) [3 calls]
  hash_join_probe_u32:    2.195 ms (30.128%) [4 calls]
  hash_join_probe_u64:    0.333 ms (4.570%) [1 calls]
  sort           :    0.208 ms (2.853%) [2 calls]
─────────────────────────────────────────
  TOTAL GPU TIME: 7.284 ms
  Kernel invocations: 14
Detailed Kernel Timings:
─────────────────────────────────────────────────────────────────
Kernel                           Time (ms)       Elements           ME/s
─────────────────────────────────────────────────────────────────
hash_join_probe_write_multi          0.236          10000         42.358
hash_join_probe_write_multi          0.369         800000       2166.800
ops::filter_string_contains          0.795         200000        251.638
ops::compact_indices                 0.233         200000        857.144
ops::gather_col_u32                  0.874          10664         12.203
ops::gather_col_u32                  0.204          10664         52.221
hash_join_probe_write_multi          1.261        6001215       4759.409
hash_join_probe_write_multi          0.328         319404        972.556
ops::join_probe_u64                  0.333         319404        959.410
ops::groupby_agg_multi_key_ty        1.834         319404        174.114
ops::ht_mark_valid                   0.376        1048576       2785.987
ops::ht_extract_compact              0.232            175          0.754
block_sort_kv_u64                    0.000            175          0.000
orderby_gpu_gather                   0.208            350          1.684
─────────────────────────────────────────────────────────────────
TOTAL: 7.284 ms
