--- Running (Engine Host) ---
[Main] Using GpuExecutor generic executor.
---------------------------------------------------
======================RESULT=======================
---------------------------------------------------
ps_partkey_1|ps_availqty|ps_suppkey|ps_availqty_1|ps_suppkey|ps_partkey_1|n_nationkey|ps_partkey|ps_suppkey_1|p_partkey_1|ps_suppkey_2|s_suppkey|ps_partkey|s_nationkey|p_partkey_1|p_partkey|ps_partkey_1|(0.5 * sum(l_quantity))|sum(l_quantity)|ps_suppkey|p_name|p_name_1|s_name|n_name|s_address|
77706|2953|2721|2953|2721|77706|3|77706|2721|77706|2721|2721|77706|3|77706|77706|98.00|49.00|98.00|49.00|forest indian peach purple goldenrod|forest indian peach purple goldenrod|Supplier#000002721|CANADA|HVdFAN2JHMQSpKm|
135190|656|2730|656|2730|135190|3|135190|2730|135190|2730|2730|135190|3|135190|135190|53.00|26.50|53.00|26.50|forest dim black saddle lace|forest dim black saddle lace|Supplier#000002730|CANADA|lIFxR4fzm31C6,muzJwl84z|
170257|2166|2775|2166|2775|170257|3|170257|2775|170257|2775|2775|170257|3|170257|170257|20.00|10.00|20.00|10.00|forest snow lavender lemon metallic|forest snow lavender lemon metallic|Supplier#000002775|CANADA|yDclaDaBD4ihH|
10297|2929|2799|2929|2799|10297|3|10297|2799|10297|2799|2799|10297|3|10297|10297|40.00|20.00|40.00|20.00|forest tomato grey linen plum|forest tomato grey linen plum|Supplier#000002799|CANADA|lwr, 6L3gdfc79PQut,4XO6nQsTJY63cAyYO|
192933|537|2934|537|2934|192933|3|192933|2934|192933|2934|2934|192933|3|192933|192933|35.00|17.50|35.00|17.50|forest pink antique burlywood red|forest pink antique burlywood red|Supplier#000002934|CANADA|m,trBENywSArwg3DhB|
10439|885|2941|885|2941|10439|3|10439|2941|10439|2941|2941|10439|3|10439|10439|24.00|12.00|24.00|12.00|forest salmon red saddle hot|forest salmon red saddle hot|Supplier#000002941|CANADA|Naddba 8YTEKekZyP0|
180509|9230|3028|9230|3028|180509|3|180509|3028|180509|3028|3028|180509|3|180509|180509|41.00|20.50|41.00|20.50|forest orchid azure dark metallic|forest orchid azure dark metallic|Supplier#000003028|CANADA|jouzgX0WZjhNMWLaH4fy|
25588|5272|3095|5272|3095|25588|3|25588|3095|25588|3095|3095|25588|3|25588|25588|46.00|23.00|46.00|23.00|forest steel pale lawn slate|forest steel pale lawn slate|Supplier#000003095|CANADA|HxON3jJhUi3zjt,r mTD|
155597|3791|3143|3791|3143|155597|3|155597|3143|155597|3143|3143|155597|3|155597|155597|58.00|29.00|58.00|29.00|forest lemon rose chiffon azure|forest lemon rose chiffon azure|Supplier#000003143|CANADA|hdolgh608uTkHh7t6qfSqkifKaiFjnCH|
8184|6437|3185|6437|3185|8184|3|8184|3185|8184|3185|3185|8184|3|8184|8184|22.00|11.00|22.00|11.00|forest powder medium saddle bisque|forest powder medium saddle bisque|Supplier#000003185|CANADA|hMa535Cbf2mj1Nw4OWOKWVrsK0VdDkJURrdjSIJe|
28184|9971|3189|9971|3189|28184|3|28184|3189|28184|3189|3189|28184|3|28184|28184|53.00|26.50|53.00|26.50|forest lawn plum almond peru|forest lawn plum almond peru|Supplier#000003189|CANADA|DWdPxt7 RnkZv6VOByR0em|
23200|5811|3201|5811|3201|23200|3|23200|3201|23200|3201|3201|23200|3|23200|23200|47.00|23.50|47.00|23.50|forest dodger hot tan cornflower|forest dodger hot tan cornflower|Supplier#000003201|CANADA|E87yws6I,t0qNs4QW7UzExKiJnJDZWue|
173212|5664|3213|5664|3213|173212|3|173212|3213|173212|3213|3213|173212|3|173212|173212|61.00|30.50|61.00|30.50|forest deep puff cornsilk chiffon|forest deep puff cornsilk chiffon|Supplier#000003213|CANADA|pxrRP4irQ1VoyfQ,dTf3|
120762|5879|3275|5879|3275|120762|3|120762|3275|120762|3275|3275|120762|3|120762|120762|38.00|19.00|38.00|19.00|forest dodger aquamarine navajo blush|forest dodger aquamarine navajo blush|Supplier#000003275|CANADA|9xO4nyJ2QJcX6vGf|
15784|2240|3288|2240|3288|15784|3|15784|3288|15784|3288|3288|15784|3|15784|15784|30.00|15.00|30.00|15.00|forest puff azure misty dodger|forest puff azure misty dodger|Supplier#000003288|CANADA|EDdfNt7E5Uc,xLTupoIgYL4yY7ujh,|
43313|9284|3314|9284|3314|43313|3|43313|3314|43313|3314|3314|43313|3|43313|43313|4.00|2.00|4.00|2.00|forest slate beige smoke honeydew|forest slate beige smoke honeydew|Supplier#000003314|CANADA|jnisU8MzqO4iUB3zsPcrysMw3DDUojS4q7LD|
18370|5472|3373|5472|3373|18370|3|18370|3373|18370|3373|3373|18370|3|18370|18370|35.00|17.50|35.00|17.50|forest rose smoke salmon slate|forest rose smoke salmon slate|Supplier#000003373|CANADA|iy8VM48ynpc3N2OsBwAvhYakO2us9R1bi|
100910|3231|3421|3231|3421|100910|3|100910|3421|100910|3421|3421|100910|3|100910|100910|42.00|21.00|42.00|21.00|forest cream wheat brown burnished|forest cream wheat brown burnished|Supplier#000003421|CANADA|Sh3dt9W5oeofFWovnFhrg,|
10920|5766|3422|5766|3422|10920|3|10920|3422|10920|3422|3422|10920|3|10920|10920|5.00|2.50|5.00|2.50|forest sandy salmon lace sienna|forest sandy salmon lace sienna|Supplier#000003422|CANADA|DJoCEapUeBXoV1iYiCcPFQvzsTv2ZI960|
65922|5493|3441|5493|3441|65922|3|65922|3441|65922|3441|3441|65922|3|65922|65922|18.00|9.00|18.00|9.00|forest peach almond drab aquamarine|forest peach almond drab aquamarine|Supplier#000003441|CANADA|zvFJIzS,oUuShHjpcX|
153589|4386|3590|4386|3590|153589|3|153589|3590|153589|3590|3590|153589|3|153589|153589|107.00|53.50|107.00|53.50|forest maroon powder rosy drab|forest maroon powder rosy drab|Supplier#000003590|CANADA|sy79CMLxqb,Cbo|
166058|1698|3607|1698|3607|166058|3|166058|3607|166058|3607|3607|166058|3|166058|166058|57.00|28.50|57.00|28.50|forest powder mint firebrick ivory|forest powder mint firebrick ivory|Supplier#000003607|CANADA|lNqFHQYjwSAkf|
181106|9516|3625|9516|3625|181106|3|181106|3625|181106|3625|3625|181106|3|181106|181106|33.00|16.50|33.00|16.50|forest firebrick blush lawn hot|forest firebrick blush lawn hot|Supplier#000003625|CANADA|qY588W0Yk5iaUy1RXTgNrEKrMAjBYHcKs|
158692|3392|3723|3392|3723|158692|3|158692|3723|158692|3723|3723|158692|3|158692|158692|10.00|5.00|10.00|5.00|forest navy pale peach orange|forest navy pale peach orange|Supplier#000003723|CANADA|jZEp0OEythCLcS OmJSrFtxJ66bMlzSp|
123848|2834|3849|2834|3849|123848|3|123848|3849|123848|3849|3849|123848|3|123848|123848|25.00|12.50|25.00|12.50|forest papaya burlywood purple cornflower|forest papaya burlywood purple cornflower|Supplier#000003849|CANADA|KgbZEaRk,6Q3mWvwh6uptrs1KRUHg 0|
96366|1565|3894|1565|3894|96366|3|96366|3894|96366|3894|3894|96366|3|96366|96366|13.00|6.50|13.00|6.50|forest lace sky burlywood aquamarine|forest lace sky burlywood aquamarine|Supplier#000003894|CANADA|vvGC rameLOk|
76419|6045|3941|6045|3941|76419|3|76419|3941|76419|3941|3941|76419|3|76419|76419|14.00|7.00|14.00|7.00|forest orchid mint thistle snow|forest orchid mint thistle snow|Supplier#000003941|CANADA|Pmb05mQfBMS618O7WKqZJ 9vyv|
26552|2990|4059|2990|4059|26552|3|26552|4059|26552|4059|4059|26552|3|26552|26552|70.00|35.00|70.00|35.00|forest cornsilk smoke turquoise navy|forest cornsilk smoke turquoise navy|Supplier#000004059|CANADA|umEYZSq9RJ2WEzdsv9meU8rmqwzVLRgiZwC|
64206|5139|4207|5139|4207|64206|3|64206|4207|64206|4207|4207|64206|3|64206|64206|26.00|13.00|26.00|13.00|forest saddle puff lawn brown|forest saddle puff lawn brown|Supplier#000004207|CANADA|tF64pwiOM4IkWjN3mS,e06WuAjLx|
131722|2402|4236|2402|4236|131722|3|131722|4236|131722|4236|4236|131722|3|131722|131722|13.00|6.50|13.00|6.50|forest mint deep gainsboro orange|forest mint deep gainsboro orange|Supplier#000004236|CANADA|dl,HPtJmGipxYsSqn9wmqkuWjst,mCeJ8O6T|
76756|3272|4278|3272|4278|76756|3|76756|4278|76756|4278|4278|76756|3|76756|76756|31.00|15.50|31.00|15.50|forest gainsboro firebrick peach antique|forest gainsboro firebrick peach antique|Supplier#000004278|CANADA|bBddbpBxIVp Di9|
111769|664|4281|664|4281|111769|3|111769|4281|111769|4281|4281|111769|3|111769|111769|9.00|4.50|9.00|4.50|forest azure antique red sky|forest azure antique red sky|Supplier#000004281|CANADA|1OwPHh Pgiyeus,iZS5eA23JDOipwk|
109283|6254|4304|6254|4304|109283|3|109283|4304|109283|4304|4304|109283|3|109283|109283|8.00|4.00|8.00|4.00|forest goldenrod cream hot chartreuse|forest goldenrod cream hot chartreuse|Supplier#000004304|CANADA|hQCAz59k,HLlp2CKUrcBIL|
81837|8690|4346|8690|4346|81837|3|81837|4346|81837|4346|4346|81837|3|81837|81837|8.00|4.00|8.00|4.00|forest chartreuse navajo yellow linen|forest chartreuse navajo yellow linen|Supplier#000004346|CANADA|S3076LEOwo|
196848|1855|4406|1855|4406|196848|3|196848|4406|196848|4406|4406|196848|3|196848|196848|34.00|17.00|34.00|17.00|forest beige azure coral black|forest beige azure coral black|Supplier#000004406|CANADA|Ah0ZaLu6VwufPWUz,7kbXgYZhauEaHqGIg|
194429|4220|4430|4220|4430|194429|3|194429|4430|194429|4430|4430|194429|3|194429|194429|51.00|25.50|51.00|25.50|forest coral light firebrick navy|forest coral light firebrick navy|Supplier#000004430|CANADA|yvSsKNSTL5HLXBET4luOsPNLxKzAMk|
64526|7939|4527|7939|4527|64526|3|64526|4527|64526|4527|4527|64526|3|64526|64526|48.00|24.00|48.00|24.00|forest cream snow dark slate|forest cream snow dark slate|Supplier#000004527|CANADA|p pVXCnxgcklWF6A1o3OHY3qW6|
94654|2011|4655|2011|4655|94654|3|94654|4655|94654|4655|4655|94654|3|94654|94654|11.00|5.50|11.00|5.50|forest lavender deep puff plum|forest lavender deep puff plum|Supplier#000004655|CANADA|67NqBc4 t3PG3F8aO IsqWNq4kGaPowYL|
107320|4055|4851|4055|4851|107320|3|107320|4851|107320|4851|4851|107320|3|107320|107320|6.00|3.00|6.00|3.00|forest pink medium lace metallic|forest pink medium lace metallic|Supplier#000004851|CANADA|Rj,x6IgLT7kBL99nqp|
42366|6665|4871|6665|4871|42366|3|42366|4871|42366|4871|4871|42366|3|42366|42366|64.00|32.00|64.00|32.00|forest metallic red aquamarine snow|forest metallic red aquamarine snow|Supplier#000004871|CANADA|,phpt6AWEnUS8t4Avb50rFfdg7O9c6nU8xxv8eC5|
162367|9215|4884|9215|4884|162367|3|162367|4884|162367|4884|4884|162367|3|162367|162367|49.00|24.50|49.00|24.50|forest lime drab peach slate|forest lime drab peach slate|Supplier#000004884|CANADA|42Z1uLye9nsn6aTGBNd dI8 x|
147432|3322|4975|3322|4975|147432|3|147432|4975|147432|4975|4975|147432|3|147432|147432|73.00|36.50|73.00|36.50|forest lace chartreuse metallic misty|forest lace chartreuse metallic misty|Supplier#000004975|CANADA|GPq5PMKY6Wy|
162559|1181|5076|1181|5076|162559|3|162559|5076|162559|5076|5076|162559|3|162559|162559|32.00|16.00|32.00|16.00|forest cream metallic honeydew blanched|forest cream metallic honeydew blanched|Supplier#000005076|CANADA|Xl7h9ifgvIHmqxFLgWfHK4Gjav BkP|
55194|9484|5195|9484|5195|55194|3|55194|5195|55194|5195|5195|55194|3|55194|55194|7.00|3.50|7.00|3.50|forest tan coral plum sky|forest tan coral plum sky|Supplier#000005195|CANADA|Woi3b2ZaicPh ZSfu1EfXhE|
172738|3501|5256|3501|5256|172738|3|172738|5256|172738|5256|5256|172738|3|172738|172738|28.00|14.00|28.00|14.00|forest floral green midnight rose|forest floral green midnight rose|Supplier#000005256|CANADA|Onc3t57VAMchm,pmoVLaU8bONni9NsuaM PzMMFz|
185256|3214|5257|3214|5257|185256|3|185256|5257|185256|5257|5257|185256|3|185256|185256|23.00|11.50|23.00|11.50|forest light red rose ivory|forest light red rose ivory|Supplier#000005257|CANADA|f9g8SEHB7obMj3QXAjXS2vfYY22|
10297|376|5300|376|5300|10297|3|10297|5300|10297|5300|5300|10297|3|10297|10297|93.00|46.50|93.00|46.50|forest tomato grey linen plum|forest tomato grey linen plum|Supplier#000005300|CANADA|gXG28YqpxU|
167774|7108|5323|7108|5323|167774|3|167774|5323|167774|5323|5323|167774|3|167774|167774|73.00|36.50|73.00|36.50|forest sky indian misty honeydew|forest sky indian misty honeydew|Supplier#000005323|CANADA|tMCkdqbDoyNo8vMIkzjBqYexoRAuv,T6 qzcu|
135385|538|5386|538|5386|135385|3|135385|5386|135385|5386|5386|135385|3|135385|135385|28.00|14.00|28.00|14.00|forest lawn floral chiffon slate|forest lawn floral chiffon slate|Supplier#000005386|CANADA|Ub6AAfHpWLWP|
12924|6464|5426|6464|5426|12924|3|12924|5426|12924|5426|5426|12924|3|12924|12924|36.00|18.00|36.00|18.00|forest royal magenta rose sky|forest royal magenta rose sky|Supplier#000005426|CANADA|9Dz2OVT1q sb4BK71ljQ1XjPBYRPvO|
125464|1091|5465|1091|5465|125464|3|125464|5465|125464|5465|5465|125464|3|125464|125464|12.00|6.00|12.00|6.00|forest goldenrod ghost blanched purple|forest goldenrod ghost blanched purple|Supplier#000005465|CANADA|63cYZenZBRZ613Q1FaoG0,smnC5zl9|
125483|9493|5484|9493|5484|125483|3|125483|5484|125483|5484|5484|125483|3|125483|125483|16.00|8.00|16.00|8.00|forest azure cornflower firebrick olive|forest azure cornflower firebrick olive|Supplier#000005484|CANADA|saFdOR qW7AFY,3asPqiiAa11Mo22pCoN0BtPrKo|
102994|5130|5505|5130|5505|102994|3|102994|5505|102994|5505|5505|102994|3|102994|102994|29.00|14.50|29.00|14.50|forest sienna purple red royal|forest sienna purple red royal|Supplier#000005505|CANADA|d2sbjG43KwMPX|
180469|8407|5506|8407|5506|180469|3|180469|5506|180469|5506|5506|180469|3|180469|180469|2.00|1.00|2.00|1.00|forest smoke saddle pink red|forest smoke saddle pink red|Supplier#000005506|CANADA|On f5ypzoWgB|
118097|3063|5631|3063|5631|118097|3|118097|5631|118097|5631|5631|118097|3|118097|118097|20.00|10.00|20.00|10.00|forest gainsboro burlywood frosted ghost|forest gainsboro burlywood frosted ghost|Supplier#000005631|CANADA|14TVrjlzo2SJEBYCDgpMwTlvwSqC|
153126|4071|5642|4071|5642|153126|3|153126|5642|153126|5642|5642|153126|3|153126|153126|22.00|11.00|22.00|11.00|forest lavender chiffon royal bisque|forest lavender chiffon royal bisque|Supplier#000005642|CANADA|ZwKxAv3V40tW E8P7Qwu,zlu,kPsL|
155685|7293|5686|7293|5686|155685|3|155685|5686|155685|5686|5686|155685|3|155685|155685|4.00|2.00|4.00|2.00|forest brown ghost grey indian|forest brown ghost grey indian|Supplier#000005686|CANADA|f2RBKec2T1NIi7yS M|
173212|3813|5730|3813|5730|173212|3|173212|5730|173212|5730|5730|173212|3|173212|173212|99.00|49.50|99.00|49.50|forest deep puff cornsilk chiffon|forest deep puff cornsilk chiffon|Supplier#000005730|CANADA|5rkb0PSews HvxkL8JaD41UpnSF2cg8H1|
